Office Notarial;Adresse;Code postal;Ville;Ville d'întérêt;Département;Mail;Notaires Associés;Notaires Salariés;Nb Associés;Nb Salariés;Service Négo
SAS BRMG NOTAIRES;;35690;ACIGNE;Non;Ille-et-Vilaine (35);;Me Isabelle DOUILLET-GUYON;-;1;0;Oui
SELAS NOTAIRES & CONSEILS;;44150;ANCENIS;Non;Loire-Atlantique (44);;Me Sophie BIOTTEAU, Me Jean-Marc DRENO, Me Marie MARTIN, Me Amélie PENNETIER;-;4;0;Oui
SELARL EVRE & LOIRE;;44150;ANCENIS ST GEREON;Non;Loire-Atlantique (44);;Me Noémie CADOT;-;1;0;Non
Etude Bourlès et Associés;;56610;ARRADON;Oui;Morbihan (56);;Me Sarah POTOCKI;Me Elise MAHÉ;1;1;Oui
SELARL Laurence DUPUY Jérôme DAVOST, Julien FOURMAUX et Kristell JÉGO;;56640;ARZON;Oui;Morbihan (56);;Me Laurence DUPUY, Me Kristell JÉGO;-;2;0;Non
SAS ACTAVIE - Maîtres Dugor, Duffo-le strat, Haddad, Rault;;56400;AURAY;Non;Morbihan (56);;Me Claire DUGOR;Me Caroline AUBRÉE-CAUVIN;1;1;Non
Me Renan CONTÉ;;56400;AURAY;Non;Morbihan (56);;Me Renan CONTÉ;-;1;0;Oui
SAS ACTAVIE - Maîtres Dugor, Duffo-le strat, Haddad, Rault;;56401;AURAY;Non;Morbihan (56);;Me Anna DUFFO-LE STRAT, Me Christian HADDAD, Me David RAULT;Me Dorothée RAOUL;3;1;Oui
SELARL Alban SOEUR et Pierre MASSON;;56404;AURAY;Non;Morbihan (56);;Me Pierre MASSON, Me Alban SOEUR;Me Magali DU ROUX DE CHEVRIER DE VARENNES DE BUEIL, Me Laurie MAGUER, Me Michael STEVENS;2;3;Oui
JM.HENAFF E.MORVAN M.MEHEUST, NOTAIRES DU GOLFE;;56870;BADEN;Oui;Morbihan (56);;Me Marie MEHEUST;-;1;0;Oui
SELARL NOTA BENE;;35470;BAIN DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Laurence AVENEL-THÉZÉ, Me Anne-Marie GAUTIER, Me Marie LUCAS;Me Carole MIMEY;3;1;Oui
Me Aurélie CLOTEAU;;35470;BAIN DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Aurélie CLOTEAU;-;1;0;Oui
SELARL Pierre GOBIN et François GODET;;44115;BASSE GOULAINE;Non;Loire-Atlantique (44);;Me Pierre GOBIN, Me François GODET;-;2;0;Non
Me Frédéric RENVERSEAU;;56150;BAUD;Non;Morbihan (56);;Me Frédéric RENVERSEAU;-;1;0;Non
Me Pierre GONON;;56150;BAUD;Non;Morbihan (56);;Me Pierre GONON;-;1;0;Oui
SELARL Laurent RAISON et Benoît MACÉ;;56150;BAUD;Non;Morbihan (56);;Me Benoît MACÉ, Me Laurent RAISON;Me Ronan LECUYER;2;1;Oui
SELARL Sylvain HELLIVAN et Valérie GICQUEL-HELLIVAN;;22650;BEAUSSAIS SUR MER;Non;Côtes-d’Armor (22);;Me Valérie GICQUEL-HELLIVAN, Me Sylvain HELLIVAN;-;2;0;Oui
SELARL Laurent COUBARD et Catherine COUBARD-LE QUÉRÉ;;35137;BEDEE;Non;Ille-et-Vilaine (35);;Me Laurent COUBARD, Me Catherine COUBARD-LE QUÉRÉ;-;2;0;Oui
Me Ronan de LAMBILLY;;22810;BELLE ISLE EN TERRE;Non;Côtes-d’Armor (22);;Me Ronan de LAMBILLY;-;1;0;Oui
SARL Frédéric RABAUX et Associés;;56550;BELZ;Non;Morbihan (56);;Me Frédéric RABAUX;-;1;0;Oui
Me Mathieu SAVÉAN;;35830;BETTON;Oui;Ille-et-Vilaine (35);;Me Mathieu SAVÉAN;-;1;0;Non
GRAND ANGLE - Notaires;;35768;BETTON;Oui;Ille-et-Vilaine (35);;Me Geoffroy EMONNET, Me Christophe GUINES, Me Denis RENAUDON-BRUNETIERE;Me Camille BOURSIN, Me Anne-Laure GADBY;3;2;Oui
SELARL François DEBOISE et Nicolas QUETTIER;;22680;BINIC ETABLES SUR MER;Non;Côtes-d’Armor (22);;Me François DEBOISE;Me Marine COLLEU;1;1;Oui
SELAS Lex Silva Notaires;;44130;BLAIN;Non;Loire-Atlantique (44);;Me Eric BALLEREAU, Me Emmanuel BRIAND, Me Damien RUAUD;Me Enguerran GAUDÉ, Me Marylène HUE;3;2;Oui
SCP Caroline BODIGUEL et Florent CHAMPENOIS;;44830;BOUAYE;Non;Loire-Atlantique (44);;Me Caroline BODIGUEL, Me Florent CHAMPENOIS;-;2;0;Oui
SARL ARGOS;;44340;BOUGUENAIS;Non;Loire-Atlantique (44);;Me Solenne ELIE;-;1;0;Non
SELASU OFFICE NOTARIAL BRIACIN;;22390;BOURBRIAC;Non;Côtes-d’Armor (22);;Me Etienne DEVELAY;-;1;0;Oui
Me Christèle BEAULIEU;;35230;BOURGBARRE;Non;Ille-et-Vilaine (35);;Me Christèle BEAULIEU;-;1;0;Oui
SELARL Thierry ROBVEILLE;;44580;BOURGNEUF EN RETZ;Non;Loire-Atlantique (44);;Me Thierry ROBVEILLE;-;1;0;Non
Me Nathalie ROULET;;22250;BROONS;Non;Côtes-d’Armor (22);;Me Nathalie ROULET;-;1;0;Oui
Me Rozenn MICHEL;;35170;BRUZ;Non;Ille-et-Vilaine (35);;Me Rozenn MICHEL;-;1;0;Oui
SARL NOTAIRES DES LICES - Me Jean-Marie PERCIER;;35170;BRUZ;Non;Ille-et-Vilaine (35);;Me Jean-Marie PERCIER;Me Sophie SEJOURNE-HIGNARD;1;1;Non
SARL Eric LE GUALES DE MÉZAUBRAN;;35170;BRUZ;Non;Ille-et-Vilaine (35);;Me Eric LE GUALES DE MÉZAUBRAN;-;1;0;Oui
SCP TRENTE CINQ NOTAIRES;;35172;BRUZ;Non;Ille-et-Vilaine (35);;Me Paul COLLIN, Me Dominique GATINEAU, Me Victoria JANICOT-CHAMPAGNAT, Me Guillaume JOUIN, Me Michaël KERJEAN;Me Caroline COMPAIN, Me Aurélie JOUIN, Me Angéline LAKHFIF, Me Larhzal NASYF;5;4;Oui
SELARL LES NOTAIRES DU POHER;;22160;CALLAC;Non;Côtes-d’Armor (22);;Me Marine LE JEUNE;-;1;0;Oui
SELAS ENTRE LOIRE ET VILAINE;;44750;CAMPBON;Non;Loire-Atlantique (44);;Me Aurélie BAUCHET, Me Julien THOMAS;-;2;0;Oui
Me Jean-Christophe MACÉ;;35260;CANCALE;Oui;Ille-et-Vilaine (35);;Me Jean-Christophe MACÉ;Me Cloé BLOTIÈRE;1;1;Oui
Me Yann OLLIVIER;;35260;CANCALE;Oui;Ille-et-Vilaine (35);;Me Yann OLLIVIER;Me Adèle LE BASQUE;1;1;Non
SELARL Mickaël BOUTHEMY;;56910;CARENTOIR;Non;Morbihan (56);;Me Mickaël BOUTHEMY;-;1;0;Oui
SELARL ALLIANCE NOTAIRES DE LA BAIE;;56340;CARNAC;Oui;Morbihan (56);;Me Guillaume de TILLY;-;1;0;Oui
SELARL ALLIANCE NOTAIRES DE LA BAIE;;56340;CARNAC;Oui;Morbihan (56);;Me Séverine CAILLOCE, Me Pierre Olivier ROGEON, Me Elisabeth SÉCHET;-;3;0;Oui
Me Gwenn CORBEL;;56340;CARNAC;Oui;Morbihan (56);;Me Gwenn CORBEL;-;1;0;Oui
SELARL OFFICE NOTARIAL 1803;;44473;CARQUEFOU;Oui;Loire-Atlantique (44);;Me Eric AUDOIRE, Me Antoine BIRGAND, Me Julie BOURGOGNE, Me Anna LE BASTARD, Me Bertrand MARTIN, Me Gildas RASS;Me Julianne HABAULT, Me Julie RENELEAU;6;2;Oui
SELAS VBA NOTAIRES;;44470;CARQUEFOU;Oui;Loire-Atlantique (44);;Me Vincent BAUDELOCQUE;-;1;0;Non
SARL Mevena L'HELIAS et Romain DROSNET;;44470;CARQUEFOU;Oui;Loire-Atlantique (44);;Me Romain DROSNET, Me Mevena L'HELIAS;-;2;0;Non
LAW-RIANT, Notaires Associés;;56850;CAUDAN;Non;Morbihan (56);;Me Caroline PÉPION;-;1;0;Oui
SELARL Anne LAUBE, Pierre LHOMME & Marc DELMAS;;22350;SAINT CAST LE GUILDO;Oui;Côtes-d’Armor (22);;Me Anne LAUBE, Me Pierre LHOMME;Me Virginie DUFEIL, Me Jeanne LERAY;2;2;Oui
Me Anne-Sophie LOUIS;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Anne-Sophie LOUIS;-;1;0;Non
Me Emmanuelle PHILIPPOT;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Emmanuelle PHILIPPOT;-;1;0;Oui
SAS LEXONOT - Me Aurore GUIHARD;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Aurore GUIHARD;-;1;0;Non
SELARL Office Sabine LELOGEAIS - Hélène DALIBERT-PLOUSEAU;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Hélène DALIBERT-PLOUSEAU, Me Sabine LELOGEAIS;-;2;0;Non
SELARL Typhenn MENGER BELLEC;;35517;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Typhenn MENGER BELLEC;-;1;0;Oui
SAS BRMG NOTAIRES;;35512;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Laurent BERNADAC, Me Sébastien MIET, Me Nathalie ROBERT;-;3;0;Oui
SCP TRENTE CINQ NOTAIRES;;35135;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Sophie SONNET;-;1;0;Non
SAS BRMG NOTAIRES - Me Aude LEFEUVRE;;35135;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Aude LEFEUVRE;-;1;0;Non
SELARL NEONOT;;35571;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Gaëlle BUNEL;-;1;0;Oui
SAS OFFICE DU CARRÉ Notaires;;35131;CHARTRES DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Yves de LANGLOIS;-;1;0;Oui
SELARL EMC NOTAIRES;;35220;CHATEAUBOURG;Non;Ille-et-Vilaine (35);;Me Nicolas MÉVEL;Me Adeline PAUMARD;1;1;Oui
Me Antoine COMBE;;44110;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Antoine COMBE;-;1;0;Oui
SELARL Alain HUNAULT;;44110;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Alain HUNAULT;Me Aude DEBROIZE-VILOCET, Me Benoit HUNAULT;1;2;Oui
SCP Guillaume JOSSO;;44142;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Guillaume JOSSO;Me Ernest THIAW;1;1;Oui
SAS FIDELIS NOTAIRES;;35410;CHATEAUGIRON;Non;Ille-et-Vilaine (35);;Me Guillaume DE FRESSE DE MONVAL, Me Aude DE RATULD-LABIA, Me Eric DETCHESSAHAR;Me Léa CLAUZADE-ROBERT;3;1;Oui
SARL Bertrand LE MOGUEDEC et Jérome GONZALEZ;;35410;CHATEAUGIRON;Non;Ille-et-Vilaine (35);;Me Jérome GONZALEZ, Me Bertrand LE MOGUEDEC;Me Anne RUBIN;2;1;Oui
SAS PRADO et associé;;35430;CHATEAUNEUF D'ILLE ET VILAINE;Non;Ille-et-Vilaine (35);;Me Vincent PRADO;Me Rachel CHOMETON, Me Solenne JAMAULT-PICARD;1;2;Oui
SCP Marie-Christine ROLLAND et Vincent DÉREL;;22170;CHATELAUDREN;Non;Côtes-d’Armor (22);;Me Vincent DÉREL, Me Marie-Christine ROLLAND;-;2;0;Oui
